spotifyid,DataSet,Wonder,Transcendence,Tenderness,Nostalgia,Peacefulness,Power,Joy,Tension,Sadness,mp3,spec_npy,n_mels,n_frames
4DX82Vc8qAH4jJPvKxvwg6,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Junior Senior - Move Your Feet.mp3,DataSets\img\Junior Senior - Move Your Feet.npy,128.0,18186.0
75qbtJ1b1xm59POD1aDS7A,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Sébastien El Chato - Je sais.mp3,DataSets\img\Sébastien El Chato - Je sais.npy,128.0,19602.0
19K3lUMJmOdeuOBTrbLm19,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\MGMT - Weekend Wars.mp3,DataSets\img\MGMT - Weekend Wars.npy,128.0,25077.0
6HTJgY7iWWlVLSDHsfHePf,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Ninho - Jefe.mp3,DataSets\img\Ninho - Jefe.npy,128.0,17770.0
2XqW4lc8eFrUqPlPOH6gmI,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Keen' V - Affaire classée.mp3,DataSets\img\Keen' V - Affaire classée.npy,128.0,16608.0
761WKLuuoZgWTjYsM31ljA,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Shaka Ponk - Body Cult.mp3,DataSets\img\Shaka Ponk - Body Cult.npy,128.0,24330.0
5kLRBwykoqtVob6pJ9b75h,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Dany Brillant - Bambino - Reggaeton.mp3,DataSets\img\Dany Brillant - Bambino - Reggaeton.npy,128.0,21744.0
1FdU4oF88UOJwA9GYgognx,Music-Mouv,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,DataSets\audio\Deftones - Diamond Eyes.mp3,DataSets\img\Deftones - Diamond Eyes.npy,128.0,18823.0
6b8Be6ljOzmkOmFslEb23P,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Bruno Mars - 24K Magic.mp3,DataSets\img\Bruno Mars - 24K Magic.npy,128.0,22611.0
3oBzgOBdpq4fhcHU4wnx8W,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Shanna Kress - Étoile noire.mp3,DataSets\img\Shanna Kress - Étoile noire.npy,128.0,18695.0
4sZbYvUTHJUmQ7mitmnbCd,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Lindsey Stirling - Crystallize.mp3,DataSets\img\Lindsey Stirling - Crystallize.npy,128.0,29962.0
1EFmmDe9dRgA31yc8MA1cb,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Mors Principium Est - Pure.mp3,DataSets\img\Mors Principium Est - Pure.npy,128.0,36788.0
0w6lsLBvhtGcqMYA7MB7r6,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Orelsan - La Quête.mp3,DataSets\img\Orelsan - La Quête.npy,128.0,23415.0
4CWcaGtaOyAqBDKIeZMUe0,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Naps - La kiffance.mp3,DataSets\img\Naps - La kiffance.npy,128.0,15432.0
5ygDXis42ncn6kYG14lEVG,Music-Mouv,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,DataSets\audio\Pinkfong - Baby Shark.mp3,DataSets\img\Pinkfong - Baby Shark.npy,128.0,13604.0
5pRElcsPZrgZXkoON2o5Go,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Skillet - Comatose.mp3,DataSets\img\Skillet - Comatose.npy,128.0,23052.0
17tejn8Dt8IDKKRknPznPD,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Soolking - Fada.mp3,DataSets\img\Soolking - Fada.npy,128.0,11099.0
6LtiYg9rZXcqeonqFnGrQx,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Vicarious Visions Audio - Crash Bandicoot Main Theme.mp3,DataSets\img\Vicarious Visions Audio - Crash Bandicoot Main Theme.npy,128.0,4861.0
6KigD0mlF4VGDYiSEzAyYw,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\NEFFEX - Fight Back.mp3,DataSets\img\NEFFEX - Fight Back.npy,128.0,19683.0
5JrEDriz04IUQnTviFEUKQ,Music-Mouv,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,DataSets\audio\Bénabar - L'effet papillon.mp3,DataSets\img\Bénabar - L'effet papillon.npy,128.0,22115.0
5QzjOeD7eXFZpVVyVC7ls2,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\TNX - MOVE.mp3,DataSets\img\TNX - MOVE.npy,128.0,21239.0
6lHf3IMVHRQ0em1wbGsTGB,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Biwaï - Loco.mp3,DataSets\img\Biwaï - Loco.npy,128.0,19487.0
41N22sExMGJ0kzHwya8AtZ,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Zaho - Boloss.mp3,DataSets\img\Zaho - Boloss.npy,128.0,23384.0
5YHsGUUAyoPDZ5eTEqdt1s,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Jnr Slice - Doré.mp3,DataSets\img\Jnr Slice - Doré.npy,128.0,14769.0
53rwYHTHFgGrKkSiqyAH7k,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\İbrahim Tatlıses - Aramam.mp3,DataSets\img\İbrahim Tatlıses - Aramam.npy,128.0,29591.0
2SMNxADB0ffqaIoOwl2x06,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Volbeat - Shotgun Blues.mp3,DataSets\img\Volbeat - Shotgun Blues.npy,128.0,15082.0
4leY6qRRp1GGnv5gvMMYVr,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Eno - Cane Cane.mp3,DataSets\img\Eno - Cane Cane.npy,128.0,19359.0
3hlksXnvbKogFdPbpO9vel,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Nicki Minaj - Super Bass.mp3,DataSets\img\Nicki Minaj - Super Bass.npy,128.0,11321.0
2uEK8kZO6DxEqOoUgz7Bi9,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\KIDDO - Let It Rain.mp3,DataSets\img\KIDDO - Let It Rain.npy,128.0,10864.0
6Ao6nHW7cPibIEOLytVUxn,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Kendji Girac - Color Gitano.mp3,DataSets\img\Kendji Girac - Color Gitano.npy,128.0,10501.0
6cryNSlBitzoR2Y5HROrii,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Kaaris - Tchoin.mp3,DataSets\img\Kaaris - Tchoin.npy,128.0,12141.0
5H6SZcjJzBNsB2VzKW2Ivd,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Ozuna - Tiempo.mp3,DataSets\img\Ozuna - Tiempo.npy,128.0,19518.0
2KH5oAL6cKVuY3KHIOuKgz,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Lefa - Métaverse.mp3,DataSets\img\Lefa - Métaverse.npy,128.0,19714.0
1HzDhHApjdjXPLHF6GGYhu,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Pink Floyd - Wish You Were Here.mp3,DataSets\img\Pink Floyd - Wish You Were Here.npy,128.0,30599.0
6iR2M235HS3BbB68MtRIbO,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Dika - Youleuh 6.mp3,DataSets\img\Dika - Youleuh 6.npy,128.0,23350.0
09CtPGIpYB4BrO8qb1RGsF,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Justin Bieber - Sorry.mp3,DataSets\img\Justin Bieber - Sorry.npy,128.0,11177.0
4kZbYkUuDHyphD71bPMYL1,Music-Mouv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Steven Wilson - Drive Home.mp3,DataSets\img\Steven Wilson - Drive Home.npy,128.0,50073.0
5HerMpAegwiAAFOIXNCxED,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Naps - En détente.mp3,DataSets\img\Naps - En détente.npy,128.0,15495.0
6cFrujlrXPM4mm9ZCce50F,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Greta Van Fleet - The Weight of Dreams.mp3,DataSets\img\Greta Van Fleet - The Weight of Dreams.npy,128.0,29889.0
0yzjqS9Ya9tE0QAYizgpNe,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Team Sleep - Ataraxia.mp3,DataSets\img\Team Sleep - Ataraxia.npy,128.0,19735.0
6WpBbL2UkFz4QQNpQuG9qD,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Puscifer - Potions - Deliverance Mix.mp3,DataSets\img\Puscifer - Potions - Deliverance Mix.npy,128.0,27517.0
5OBptQtIlGOG94la7qil6c,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Genesis - Firth Of Fifth - Remastered 2008.mp3,DataSets\img\Genesis - Firth Of Fifth - Remastered 2008.npy,128.0,57490.0
0gmbgwZ8iqyMPmXefof8Yf,Music-Mouv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Nickelback - How You Remind Me.mp3,DataSets\img\Nickelback - How You Remind Me.npy,128.0,22415.0
6JnFVmPyJvjnfBag0hhIFa,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DataSets\audio\Muse - Assassin.mp3,DataSets\img\Muse - Assassin.npy,128.0,21111.0
4diKCx2EUg4CGvDTyCan5H,Music-Mouv,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,DataSets\audio\Marcin Przybyłowicz - The Trail.mp3,DataSets\img\Marcin Przybyłowicz - The Trail.npy,128.0,16974.0
1MjMpqiHCPQdPUdG44P2U4,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\SKÁLD - Rún.mp3,DataSets\img\SKÁLD - Rún.npy,128.0,9022.0
62Pp6exz0ywSlBqvNqiY6Z,Music-Mouv,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,DataSets\audio\Wejdene - Anissa.mp3,DataSets\img\Wejdene - Anissa.npy,128.0,10349.0
7HctR6dqgzdU9v3LYfDElj,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Pitbull - Ten Cuidado.mp3,DataSets\img\Pitbull - Ten Cuidado.npy,128.0,21352.0
