gems9_emotion,song_name,artist,spotify_id,spotify_uri
Wonder,Wonder Woman Main Theme,"Hans Zimmer, Junkie XL, Tina Guo",0oz9ITtPIt3iI1nzdVX9L2,spotify:track:0oz9ITtPIt3iI1nzdVX9L2
Wonder,Moonlight Sonata (Epic Trailer Version),Hidden Citizens,3jqcJNacs1yDhtMk0wckxv,spotify:track:3jqcJNacs1yDhtMk0wckxv
Wonder,Leave Me Alone Pt. 2,Cam'ron,3dD96v5k5BTChh0f1I1ibM,spotify:track:3dD96v5k5BTChh0f1I1ibM
Wonder,Inspiring Cinematic Trailer,Morninglightmusic,3hWohoIZw0vYNaOniLMTRH,spotify:track:3hWohoIZw0vYNaOniLMTRH
Wonder,Inspiring Cinematic Uplifting,Romansenykmusic,7K8NRwkKDP4cDeLyCKOcdL,spotify:track:7K8NRwkKDP4cDeLyCKOcdL
Wonder,Cinematic,PREACHERVAN,6GZDBmjA9cgn0M0z4TlyCE,spotify:track:6GZDBmjA9cgn0M0z4TlyCE
Wonder,Untitled #9 - Smáskifa 1,Sigur Rós,2HwjsEb0xaxURY5gN8X6q5,spotify:track:2HwjsEb0xaxURY5gN8X6q5
Wonder,Hoppípolla,Sigur Rós,0yQPpUq5BJyqah5m2Q5Stt,spotify:track:0yQPpUq5BJyqah5m2Q5Stt
Wonder,Svefn-g-englar,Sigur Rós,07eGxuz8bL6QMsRqEe1Adu,spotify:track:07eGxuz8bL6QMsRqEe1Adu
Wonder,Your Hand In Mine - Remastered,Explosions In The Sky,4sYn64V9gqP6bpkOGw5B9k,spotify:track:4sYn64V9gqP6bpkOGw5B9k
Wonder,Explosions In The Sky,Kadavar,1gb8M0X11FXQiOX5zmNoTH,spotify:track:1gb8M0X11FXQiOX5zmNoTH
Wonder,Glamorous,"Fergie, Ludacris",4KTtYhxFtFL7mBwnjkKfLm,spotify:track:4KTtYhxFtFL7mBwnjkKfLm
Transcendence,Transcendence,RESPIRE MUSIC,7xcWKzy4Omd4jKvxj7Ws7L,spotify:track:7xcWKzy4Omd4jKvxj7Ws7L
Transcendence,528 Hz Mighty Transformation,Spiritual Frequencies,5hAWATp1cD21SVNKvU08Pt,spotify:track:5hAWATp1cD21SVNKvU08Pt
Transcendence,House Music - Message Mix,Eddie Amador,20ISe2Xi5Dm8qPmQ6AQ2LM,spotify:track:20ISe2Xi5Dm8qPmQ6AQ2LM
Transcendence,Sacred Choir,Milkyway Outcast,74a9k6xcmGHQiElnnMZEOg,spotify:track:74a9k6xcmGHQiElnnMZEOg
Transcendence,We Praise Thee,"Pavel Chesnokov, St.Petersburg Chamber Choir, Nikolai Korniev",39HgNoEwV9xAJgLctTOtb5,spotify:track:39HgNoEwV9xAJgLctTOtb5
Transcendence,American Pie,Don McLean,1fDsrQ23eTAVFElUMaf38X,spotify:track:1fDsrQ23eTAVFElUMaf38X
Transcendence,Spiegel im spiegel,"Arvo Pärt, Angèle Dubeau, La Pietà",7zHd9LxIZB8WKosSWN9Umj,spotify:track:7zHd9LxIZB8WKosSWN9Umj
Transcendence,30-11-80,Sido,5c3iNCYCoaBxkihcQHNt1A,spotify:track:5c3iNCYCoaBxkihcQHNt1A
Transcendence,bissu dumm ¿ MEGALODON REMIX,"Bonez MC, Nate57, JUGGLERZ, AchtVier, AK 33, AK AUSSERKONTROLLE, AZAD, Big Toe, CANEY030, Celo & Abdi",1IMa0Il4w988MwZCUcISix,spotify:track:1IMa0Il4w988MwZCUcISix
Transcendence,Dil Pe Zakham Khate Hain,"Nusrat Fateh Ali Khan, Afternight Vibes",0Dg23zVaNGqUpEtKq9yoVn,spotify:track:0Dg23zVaNGqUpEtKq9yoVn
Transcendence,Jaan Se Guzarte Hain,"Shashwat Sachdev, Khan Saab, Nusrat Fateh Ali Khan",4aWTPC6cuebk9zSpW1PY1Y,spotify:track:4aWTPC6cuebk9zSpW1PY1Y
Transcendence,InShaAllah,Mr Dawar,67ZNUrluegf6WDsxlZyOVA,spotify:track:67ZNUrluegf6WDsxlZyOVA
Tenderness,Tender Love Ballad,The Poxy Boggards,3o7DpgWNnUJZfvK1IrIZIA,spotify:track:3o7DpgWNnUJZfvK1IrIZIA
Tenderness,Tender Love,Force M.D.'s,6D527hFJzl1vWSzosEbyQk,spotify:track:6D527hFJzl1vWSzosEbyQk
Tenderness,Islands In the Stream,"Dolly Parton, Kenny Rogers",6dnco8haegnJYtylV26cBq,spotify:track:6dnco8haegnJYtylV26cBq
Tenderness,U Send Me Swingin',Mint Condition,1mC7u32zemMLC1mVOU02Pm,spotify:track:1mC7u32zemMLC1mVOU02Pm
Tenderness,gentle - Instrumental,draw close,1n2Vr6BhfZ0rNFA2pg8jJu,spotify:track:1n2Vr6BhfZ0rNFA2pg8jJu
Tenderness,"Love, Come and Save Me","Right Away, Great Captain!",4pfQLkCEKxD9Z40ijuNG9N,spotify:track:4pfQLkCEKxD9Z40ijuNG9N
Tenderness,Hallelujah,Jeff Buckley,3pRaLNL3b8x5uBOcsgvdqM,spotify:track:3pRaLNL3b8x5uBOcsgvdqM
