spotifyid,DataSet,Wonder,Transcendence,Tenderness,Nostalgia,Peacefulness,Power,Joy,Tension,Sadness,mp3,spec_npy,n_mels,n_frames,tempo,tempo_variance,loudness,energy,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,key,mode,acousticness,danceability,valence
4DX82Vc8qAH4jJPvKxvwg6,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Junior Senior - Move Your Feet.mp3,DataSets\img\Junior Senior - Move Your Feet.npy,128.0,18186.0,[120.18531977],6.026983957070436e-05,-14.094627,0.4189525842666626,3283.1749093874905,3183.2257835887194,6396.582056187755,0.09065176444594293,9,0,0.9938261457718909,[0.67123511],0.3585291887147202
75qbtJ1b1xm59POD1aDS7A,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Sébastien El Chato - Je sais.mp3,DataSets\img\Sébastien El Chato - Je sais.npy,128.0,19602.0,[63.80208333],0.000282748588198649,-18.880915,0.370105504989624,2515.5202003709232,2792.0879814203213,5530.9989384662085,0.05581199584086063,7,0,0.9992188392207026,[0.56277825],0.29106984835460287
19K3lUMJmOdeuOBTrbLm19,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\MGMT - Weekend Wars.mp3,DataSets\img\MGMT - Weekend Wars.npy,128.0,25077.0,[77.13386194],0.0012749906577006365,-14.4673,0.4397430121898651,2784.664180005505,2961.2873531955183,5607.20262656836,0.07018624180372934,5,0,0.9996557364647742,[0.60835602],0.33222528273032204
6HTJgY7iWWlVLSDHsfHePf,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Ninho - Jefe.mp3,DataSets\img\Ninho - Jefe.npy,128.0,17770.0,[120.18531977],0.0006022152040808388,-17.558363,0.2536640763282776,2183.394355124672,2704.1093095697333,4702.5105427405915,0.04370815825901607,7,0,0.9985523791983724,[0.61771435],0.230114315784404
2XqW4lc8eFrUqPlPOH6gmI,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Keen' V - Affaire classée.mp3,DataSets\img\Keen' V - Affaire classée.npy,128.0,16608.0,[120.18531977],0.002991456674898022,-14.19989,0.35921749472618103,3139.9105803557613,3277.271930304458,6741.539367654448,0.06758635119931843,8,0,0.9922422962263227,[0.65079546],0.3290665369324444
761WKLuuoZgWTjYsM31ljA,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Shaka Ponk - Body Cult.mp3,DataSets\img\Shaka Ponk - Body Cult.npy,128.0,24330.0,[135.99917763],0.00013233720487367174,-12.419679,0.4755631685256958,3031.2343154678724,3381.9739593468166,6459.234464193578,0.06809731643831123,11,0,0.9941069553606212,[0.71655534],0.36060334387309007
5kLRBwykoqtVob6pJ9b75h,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Dany Brillant - Bambino - Reggaeton.mp3,DataSets\img\Dany Brillant - Bambino - Reggaeton.npy,128.0,21744.0,[132.51201923],0.0011626059836010957,-14.16735,0.46723097562789917,2634.222771860714,3324.6229990444463,5900.47133688945,0.04909408810504325,0,0,0.9997078920423519,[0.70983299],0.331358510000014
1FdU4oF88UOJwA9GYgognx,Music-Mouv,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,DataSets\audio\Deftones - Diamond Eyes.mp3,DataSets\img\Deftones - Diamond Eyes.npy,128.0,18823.0,[103.359375],0.0010174503637045659,-15.158035,0.4745883047580719,3330.4709160341104,3310.2315138801264,6687.17056299825,0.0848776950787948,10,0,0.9957438702695072,[0.66237635],0.380227495988298
6b8Be6ljOzmkOmFslEb23P,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Bruno Mars - 24K Magic.mp3,DataSets\img\Bruno Mars - 24K Magic.npy,128.0,22611.0,[107.66601562],0.00013319999482765984,-14.379721,0.39132922887802124,3080.7789858386045,3323.0295599032825,6480.501236059852,0.06854445803915275,5,0,0.9967977148480713,[0.64215234],0.3358283420152474
3oBzgOBdpq4fhcHU4wnx8W,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Shanna Kress - Étoile noire.mp3,DataSets\img\Shanna Kress - Étoile noire.npy,128.0,18695.0,[109.95678191],0.0022554601862664033,-16.227137,0.4455910623073578,2335.4976532675673,2771.635583334992,5096.287240125093,0.04909380967443955,9,0,0.9996431407344062,[0.66500604],0.30423019765362375
