spotifyid,mp3,spec_npy,n_mels,n_frames
4DX82Vc8qAH4jJPvKxvwg6,DataSets\audio\Junior Senior - Move Your Feet.mp3,DataSets\img\Junior Senior - Move Your Feet.npy,128,18186
75qbtJ1b1xm59POD1aDS7A,DataSets\audio\Sébastien El Chato - Je sais.mp3,DataSets\img\Sébastien El Chato - Je sais.npy,128,19602
19K3lUMJmOdeuOBTrbLm19,DataSets\audio\MGMT - Weekend Wars.mp3,DataSets\img\MGMT - Weekend Wars.npy,128,25077
6HTJgY7iWWlVLSDHsfHePf,DataSets\audio\Ninho - Jefe.mp3,DataSets\img\Ninho - Jefe.npy,128,17770
2XqW4lc8eFrUqPlPOH6gmI,DataSets\audio\Keen' V - Affaire classée.mp3,DataSets\img\Keen' V - Affaire classée.npy,128,16608
761WKLuuoZgWTjYsM31ljA,DataSets\audio\Shaka Ponk - Body Cult.mp3,DataSets\img\Shaka Ponk - Body Cult.npy,128,24330
5kLRBwykoqtVob6pJ9b75h,DataSets\audio\Dany Brillant - Bambino - Reggaeton.mp3,DataSets\img\Dany Brillant - Bambino - Reggaeton.npy,128,21744
1FdU4oF88UOJwA9GYgognx,DataSets\audio\Deftones - Diamond Eyes.mp3,DataSets\img\Deftones - Diamond Eyes.npy,128,18823
6b8Be6ljOzmkOmFslEb23P,DataSets\audio\Bruno Mars - 24K Magic.mp3,DataSets\img\Bruno Mars - 24K Magic.npy,128,22611
3oBzgOBdpq4fhcHU4wnx8W,DataSets\audio\Shanna Kress - Étoile noire.mp3,DataSets\img\Shanna Kress - Étoile noire.npy,128,18695
4sZbYvUTHJUmQ7mitmnbCd,DataSets\audio\Lindsey Stirling - Crystallize.mp3,DataSets\img\Lindsey Stirling - Crystallize.npy,128,29962
1EFmmDe9dRgA31yc8MA1cb,DataSets\audio\Mors Principium Est - Pure.mp3,DataSets\img\Mors Principium Est - Pure.npy,128,36788
0w6lsLBvhtGcqMYA7MB7r6,DataSets\audio\Orelsan - La Quête.mp3,DataSets\img\Orelsan - La Quête.npy,128,23415
4CWcaGtaOyAqBDKIeZMUe0,DataSets\audio\Naps - La kiffance.mp3,DataSets\img\Naps - La kiffance.npy,128,15432
5ygDXis42ncn6kYG14lEVG,DataSets\audio\Pinkfong - Baby Shark.mp3,DataSets\img\Pinkfong - Baby Shark.npy,128,13604
5pRElcsPZrgZXkoON2o5Go,DataSets\audio\Skillet - Comatose.mp3,DataSets\img\Skillet - Comatose.npy,128,23052
17tejn8Dt8IDKKRknPznPD,DataSets\audio\Soolking - Fada.mp3,DataSets\img\Soolking - Fada.npy,128,11099
6LtiYg9rZXcqeonqFnGrQx,DataSets\audio\Vicarious Visions Audio - Crash Bandicoot Main Theme.mp3,DataSets\img\Vicarious Visions Audio - Crash Bandicoot Main Theme.npy,128,4861
6KigD0mlF4VGDYiSEzAyYw,DataSets\audio\NEFFEX - Fight Back.mp3,DataSets\img\NEFFEX - Fight Back.npy,128,19683
5JrEDriz04IUQnTviFEUKQ,DataSets\audio\Bénabar - L'effet papillon.mp3,DataSets\img\Bénabar - L'effet papillon.npy,128,22115
5QzjOeD7eXFZpVVyVC7ls2,DataSets\audio\TNX - MOVE.mp3,DataSets\img\TNX - MOVE.npy,128,21239
6lHf3IMVHRQ0em1wbGsTGB,DataSets\audio\Biwaï - Loco.mp3,DataSets\img\Biwaï - Loco.npy,128,19487
41N22sExMGJ0kzHwya8AtZ,DataSets\audio\Zaho - Boloss.mp3,DataSets\img\Zaho - Boloss.npy,128,23384
5YHsGUUAyoPDZ5eTEqdt1s,DataSets\audio\Jnr Slice - Doré.mp3,DataSets\img\Jnr Slice - Doré.npy,128,14769
53rwYHTHFgGrKkSiqyAH7k,DataSets\audio\İbrahim Tatlıses - Aramam.mp3,DataSets\img\İbrahim Tatlıses - Aramam.npy,128,29591
2SMNxADB0ffqaIoOwl2x06,DataSets\audio\Volbeat - Shotgun Blues.mp3,DataSets\img\Volbeat - Shotgun Blues.npy,128,15082
4leY6qRRp1GGnv5gvMMYVr,DataSets\audio\Eno - Cane Cane.mp3,DataSets\img\Eno - Cane Cane.npy,128,19359
3hlksXnvbKogFdPbpO9vel,DataSets\audio\Nicki Minaj - Super Bass.mp3,DataSets\img\Nicki Minaj - Super Bass.npy,128,11321
2uEK8kZO6DxEqOoUgz7Bi9,DataSets\audio\KIDDO - Let It Rain.mp3,DataSets\img\KIDDO - Let It Rain.npy,128,10864
6Ao6nHW7cPibIEOLytVUxn,DataSets\audio\Kendji Girac - Color Gitano.mp3,DataSets\img\Kendji Girac - Color Gitano.npy,128,10501
6cryNSlBitzoR2Y5HROrii,DataSets\audio\Kaaris - Tchoin.mp3,DataSets\img\Kaaris - Tchoin.npy,128,12141
5H6SZcjJzBNsB2VzKW2Ivd,DataSets\audio\Ozuna - Tiempo.mp3,DataSets\img\Ozuna - Tiempo.npy,128,19518
2KH5oAL6cKVuY3KHIOuKgz,DataSets\audio\Lefa - Métaverse.mp3,DataSets\img\Lefa - Métaverse.npy,128,19714
1HzDhHApjdjXPLHF6GGYhu,DataSets\audio\Pink Floyd - Wish You Were Here.mp3,DataSets\img\Pink Floyd - Wish You Were Here.npy,128,30599
6iR2M235HS3BbB68MtRIbO,DataSets\audio\Dika - Youleuh 6.mp3,DataSets\img\Dika - Youleuh 6.npy,128,23350
09CtPGIpYB4BrO8qb1RGsF,DataSets\audio\Justin Bieber - Sorry.mp3,DataSets\img\Justin Bieber - Sorry.npy,128,11177
4kZbYkUuDHyphD71bPMYL1,DataSets\audio\Steven Wilson - Drive Home.mp3,DataSets\img\Steven Wilson - Drive Home.npy,128,50073
5HerMpAegwiAAFOIXNCxED,DataSets\audio\Naps - En détente.mp3,DataSets\img\Naps - En détente.npy,128,15495
6cFrujlrXPM4mm9ZCce50F,DataSets\audio\Greta Van Fleet - The Weight of Dreams.mp3,DataSets\img\Greta Van Fleet - The Weight of Dreams.npy,128,29889
0yzjqS9Ya9tE0QAYizgpNe,DataSets\audio\Team Sleep - Ataraxia.mp3,DataSets\img\Team Sleep - Ataraxia.npy,128,19735
6WpBbL2UkFz4QQNpQuG9qD,DataSets\audio\Puscifer - Potions - Deliverance Mix.mp3,DataSets\img\Puscifer - Potions - Deliverance Mix.npy,128,27517
5OBptQtIlGOG94la7qil6c,DataSets\audio\Genesis - Firth Of Fifth - Remastered 2008.mp3,DataSets\img\Genesis - Firth Of Fifth - Remastered 2008.npy,128,57490
0gmbgwZ8iqyMPmXefof8Yf,DataSets\audio\Nickelback - How You Remind Me.mp3,DataSets\img\Nickelback - How You Remind Me.npy,128,22415
6JnFVmPyJvjnfBag0hhIFa,DataSets\audio\Muse - Assassin.mp3,DataSets\img\Muse - Assassin.npy,128,21111
4diKCx2EUg4CGvDTyCan5H,DataSets\audio\Marcin Przybyłowicz - The Trail.mp3,DataSets\img\Marcin Przybyłowicz - The Trail.npy,128,16974
1MjMpqiHCPQdPUdG44P2U4,DataSets\audio\SKÁLD - Rún.mp3,DataSets\img\SKÁLD - Rún.npy,128,9022
62Pp6exz0ywSlBqvNqiY6Z,DataSets\audio\Wejdene - Anissa.mp3,DataSets\img\Wejdene - Anissa.npy,128,10349
7HctR6dqgzdU9v3LYfDElj,DataSets\audio\Pitbull - Ten Cuidado.mp3,DataSets\img\Pitbull - Ten Cuidado.npy,128,21352
3o8czqWldXDDZvZWAMw3Yw,DataSets\audio\Opeth - Heir Apparent.mp3,DataSets\img\Opeth - Heir Apparent.npy,128,53054
3ZxeBONxtfBB7jerhauPpc,DataSets\audio\Alex Wilson - Boom.mp3,DataSets\img\Alex Wilson - Boom.npy,128,13087
5ECfzSLi8W8yT8l2l4DkYS,DataSets\audio\Black Crown Initiate - A Great Mistake.mp3,DataSets\img\Black Crown Initiate - A Great Mistake.npy,128,41017
6epn3r7S14KUqlReYr77hA,DataSets\audio\Justin Bieber - Baby.mp3,DataSets\img\Justin Bieber - Baby.npy,128,11929
7ye2H4Sjn4Va8Fny4cDMnb,DataSets\audio\Shadow of Intent - The Return.mp3,DataSets\img\Shadow of Intent - The Return.npy,128,28580
228BxWXUYQPJrJYHDLOHkj,DataSets\audio\Daddy Yankee - Gasolina.mp3,DataSets\img\Daddy Yankee - Gasolina.npy,128,10838
1CAbKnexRqE6donA0Tyhrf,DataSets\audio\Dj Mam's - Fiesta Buena (feat. Luis Guisao & Soldat Jahman).mp3,DataSets\img\Dj Mam's - Fiesta Buena (feat. Luis Guisao & Soldat Jahman).npy,128,19291
5HXaU3tsZrdWTqKVRToU43,DataSets\audio\Eluveitie - Rebirth.mp3,DataSets\img\Eluveitie - Rebirth.npy,128,30761
4CtO2AMo76k5yAeD44EUPY,DataSets\audio\HXVRMXN - South.mp3,DataSets\img\HXVRMXN - South.npy,128,19199
4oMyggIzClkOcCTvotFLkP,DataSets\audio\Ghostface Playa - Why Not.mp3,DataSets\img\Ghostface Playa - Why Not.npy,128,16901
4Qt6fOWtoMdjQYtV5jztL2,DataSets\audio\DeathbyRomy - Day I Die.mp3,DataSets\img\DeathbyRomy - Day I Die.npy,128,10720
3KyEkcINcNisbSDfFZqmaV,DataSets\audio\Sympathies - Joy.mp3,DataSets\img\Sympathies - Joy.npy,128,12938
2lIBT5vhgGXKMUoCFeFJvZ,DataSets\audio\Booba - Scarface.mp3,DataSets\img\Booba - Scarface.npy,128,14260
0HKNlsZ0zFlSqUqWj1nVVG,DataSets\audio\Niska - Réseaux.mp3,DataSets\img\Niska - Réseaux.npy,128,20981
16mEAOIriJH4aIJW8OiZkD,DataSets\audio\Koba LaD - Guedro.mp3,DataSets\img\Koba LaD - Guedro.npy,128,11412
51GMvFIatytE5bvlDLx4ju,DataSets\audio\Christophe Maé - Les mêmes que nous.mp3,DataSets\img\Christophe Maé - Les mêmes que nous.npy,128,19899
1Vf09Cxf2jqSkU6sfueYAq,DataSets\audio\Diam's - La Boulette (Génération Nan Nan).mp3,DataSets\img\Diam's - La Boulette (Génération Nan Nan).npy,128,23144
37DnQQzvedZUOhtjEEaHQT,DataSets\audio\Yanns - Clic clic pan pan.mp3,DataSets\img\Yanns - Clic clic pan pan.npy,128,16407
6mkBPrs5D4lyHRKYzHHA50,DataSets\audio\Boule - L'ours polaire.mp3,DataSets\img\Boule - L'ours polaire.npy,128,13087
57bgtoPSgt236HzfBOd8kj,DataSets\audio\AC_DC - Thunderstruck.mp3,DataSets\img\AC_DC - Thunderstruck.npy,128,29293
1etiUDkISHELzQGMY79ryt,DataSets\audio\Bastille - Quarter Past Midnight.mp3,DataSets\img\Bastille - Quarter Past Midnight.npy,128,11538
0UFDKFqW2oGspYeYqo9wjA,DataSets\audio\Linkin Park - Bleed It Out.mp3,DataSets\img\Linkin Park - Bleed It Out.npy,128,16443
7CXmNtoDEik3cfe9DghQHG,DataSets\audio\Collectif Métissé - Sexy Lady.mp3,DataSets\img\Collectif Métissé - Sexy Lady.npy,128,11522
5CbCgXCMti2YOgcisqmdWC,DataSets\audio\Lúnasa - Eanáir.mp3,DataSets\img\Lúnasa - Eanáir.npy,128,32979
4jrMslkQYy6HVqKKPX2WXf,DataSets\audio\Depeche Mode - Somebody.mp3,DataSets\img\Depeche Mode - Somebody.npy,128,26101
6WFo74afaWutWhjwtlz4Ki,DataSets\audio\Great Big Sea - Run Runaway.mp3,DataSets\img\Great Big Sea - Run Runaway.npy,128,22313
3kHDkEajJ4G02y2U6Xf0fm,DataSets\audio\Renaud - Laisse béton.mp3,DataSets\img\Renaud - Laisse béton.npy,128,8437
332cZrFqQCo1u7jixKukF2,DataSets\audio\Titi Robin - Ma Gavali Rumba.mp3,DataSets\img\Titi Robin - Ma Gavali Rumba.npy,128,27146
2kUKeN9ZpYHqfBjB8Gphb2,DataSets\audio\Naps - Best life.mp3,DataSets\img\Naps - Best life.npy,128,19711
6MTuYHLWVgs25adPBzg5X6,DataSets\audio\Yves Deruyter - Animals - Remix.mp3,DataSets\img\Yves Deruyter - Animals - Remix.npy,128,25915
