emotion               precision     recall         f1    support
--------------------------------------------------------
admiration               0.6589     0.2687     0.3817       1675
amusement                0.5937     0.4719     0.5258        873
anger                    0.0000     0.0000     0.0000        835
annoyance                0.0000     0.0000     0.0000       1422
approval                 0.0000     0.0000     0.0000       1729
caring                   0.0000     0.0000     0.0000        605
confusion                0.5833     0.0099     0.0195        707
curiosity                0.8710     0.0283     0.0549        953
desire                   0.5823     0.1201     0.1991        383
disappointment           0.0000     0.0000     0.0000        835
disapproval              0.0000     0.0000     0.0000       1175
disgust                  0.0000     0.0000     0.0000        570
embarrassment            0.0000     0.0000     0.0000        258
excitement               0.0000     0.0000     0.0000        513
fear                     0.0000     0.0000     0.0000        353
gratitude                0.9001     0.6194     0.7338       1135
grief                    0.0000     0.0000     0.0000         63
joy                      0.6875     0.0131     0.0258        838
love                     0.7251     0.3043     0.4287        815
nervousness              0.0000     0.0000     0.0000        185
optimism                 0.5221     0.0883     0.1511        804
pride                    0.0000     0.0000     0.0000        143
realization              0.0000     0.0000     0.0000        888
relief                   0.0000     0.0000     0.0000        110
remorse                  0.0000     0.0000     0.0000        229
sadness                  0.7500     0.0043     0.0086        696
surprise                 0.0000     0.0000     0.0000        550
neutral                  0.5115     0.2048     0.2925       5546
--------------------------------------------------------
micro avg                0.6229     0.1251     0.2084      24888
